MUNICIPIO;UF;Total_Postos;Total_PAE;Total_Agências;Populacao;Coeficiente de ajuste populacional;IDHM;Nível de bancarização;Teledensidade estadual;Probabilidade_de_conversão;Clientes_Convertidos
ABADIA DE GOIAS ;GO;2,000000;2,000000;;8958;10;0,708000;0,000447;0,407122;0,860000;77
ABADIA DOS DOURADOS ;MG;2,000000;1,000000;;7006;10;0,689000;0,000428;0,225949;0,360000;25
ABADIANIA ;GO;1,000000;2,000000;2,000000;20461;15;0,689000;0,000244;0,178242;0,040000;8
ABAETE;MG;2,000000;6,000000;3,000000;23250;15;0,698000;0,000473;0,068086;0,020000;5
ABAIARA ;CE;1,000000;1,000000;;11853;10;0,628000;0,000169;0,192947;0,120000;14
ABAIRA;BA;2,000000;2,000000;;8710;10;0,603000;0,000459;0,451206;0,190000;17
ABATIA;PR;1,000000;1,000000;1,000000;7408;10;0,687000;0,000405;0,099082;0,150000;11
ABDON BATISTA ;SC;1,000000;1,000000;;2548;5;0,694000;0,000785;1,580455;16,960000;432
ABEL FIGUEIREDO ;PA;2;1;1;7486;10;0,622000;0,000534;0,246727;0,140000;10
ABELARDO LUZ;SC;5,000000;5,000000;3,000000;17960;10;0,696000;0,000724;0,224220;0,400000;72
ABRE CAMPO;MG;2,000000;5,000000;1,000000;13444;10;0,654000;0,000595;0,117748;0,110000;15
ABREULANDIA ;TO;1,000000;1,000000;;2594;5;0,665000;0,000771;0,184271;1,600000;42
ACAIACA ;MG;1,000000;1,000000;;3994;5;0,630000;0,000501;0,396345;2,620000;105
ACAJUTIBA ;BA;1,000000;2,000000;1,000000;15187;10;0,582000;0,000263;0,258774;0,080000;12
ACARAPE ;CE;1,000000;2,000000;;15036;10;0,606000;0,000200;0,152102;0,070000;11
ACARI ;RN;;1,000000;;11121;10;0,679000;0,000090;0,085154;0,120000;13
ACEGUA;PI;1,000000;;1,000000;7102;10;0,528000;0,000282;0,411293;0,050000;4
ACOPIARA;RS;;3,000000;4,000000;4942;5;0,687000;0,001416;0,028733;0,290000;14
ACRELANDIA;MT;3,000000;2,000000;1,000000;5334;10;0,628000;0,001125;2,003937;1,270000;68
ACREUNA ;AC;3,000000;3,000000;3,000000;15490;10;0,604000;0,000581;0,015494;0,010000;2
ACU ;GO;;3,000000;4,000000;22546;15;0,686000;0,000310;0,161758;0,040000;9
ADAMANTINA;MG;4,000000;8,000000;5,000000;9368;10;0,610000;0,001815;0,168980;0,080000;7
ADELANDIA ;SP;1,000000;1,000000;;35111;15;0,790000;0,000057;0,019168;0,040000;14
ADOLFO;GO;1,000000;1,000000;1,000000;2516;5;0,702000;0,001192;1,449523;16,470000;414
ADRIANOPOLIS;SP;;;1,000000;3554;5;0,730000;0,000281;0,189364;2,620000;93
ADUSTINA;PR;2,000000;2,000000;;5857;10;0,667000;0,000683;0,125320;0,150000;9
AFOGADOS DA INGAZEIRA ;BA;2,000000;4,000000;3,000000;17126;10;0,546000;0,000526;0,229476;0,040000;7
AFONSO BEZERRA;PE;1,000000;2,000000;;37404;15;0,657000;0,000080;0,163164;0,020000;7
AFONSO CLAUDIO;RN;2,000000;4,000000;3,000000;11029;10;0,585000;0,000816;0,085865;0,030000;3
AFONSO CUNHA;ES;1,000000;1,000000;;30455;15;0,667000;0,000066;0,068232;0,010000;3
AFRANIO ;MA;1,000000;2,000000;1,000000;6578;10;0,529000;0,000608;0,182578;0,020000;1
AFUA;PE;1,000000;3,000000;2,000000;19810;10;0,588000;0,000303;0,308077;0,100000;20
AGRICOLANDIA;PE;1,000000;1,000000;;25065;15;0,592000;0,000080;0,243487;0,010000;3
AGROLANDIA;PI;3,000000;2,000000;2,000000;5131;10;0,599000;0,001364;0,569285;0,230000;12
AGRONOMICA;SC;4,000000;1,000000;;11013;10;0,725000;0,000454;0,365659;0,980000;108
AGUA AZUL DO NORTE;SC;2,000000;2,000000;1,000000;5509;10;0,741000;0,000908;0,730986;2,430000;134
AGUA BRANCA ;MG;3,000000;6,000000;4,000000;13523;10;0,576000;0,000961;0,117060;0,030000;4
AGUA CLARA;MT;3,000000;2,000000;1,000000;26204;15;0,729000;0,000229;0,407915;0,240000;63
AGUA COMPRIDA ;PI;1,000000;1,000000;;10306;10;0,549000;0,000194;0,283427;0,050000;5
AGUA DOCE ;PB;4,000000;2,000000;1,000000;17470;10;0,572000;0,000401;0,073784;0,020000;3
AGUA DOCE DO NORTE;MS;1,000000;2,000000;1,000000;15776;10;0,670000;0,000254;0,084242;0,100000;16
AGUA FRIA ;MG;1,000000;2,000000;1,000000;1992;5;0,675000;0,002008;0,794679;7,420000;148
AGUA FRIA DE GOIAS;SC;1,000000;1,000000;;7152;10;0,698000;0,000280;0,563059;1,030000;74
AGUA LIMPA;MA;1,000000;;;12652;10;0,500000;0,000079;0,094926;0,010000;1
AGUA PRETA;ES;1,000000;3,000000;1,000000;10909;10;0,652000;0,000458;0,190485;0,180000;20
AGUA SANTA;BA;1,000000;1,000000;2,000000;17033;10;0,550000;0,000235;0,230729;0,040000;7
AGUAI ;GO;3,000000;3,000000;5,000000;5793;10;0,671000;0,001899;0,629553;0,780000;45
AGUANIL ;GO;1,000000;2,000000;;1830;5;0,722000;0,001639;1,992896;26,070000;477
AGUAS BELAS ;RN;1,000000;2,000000;2,000000;3272;5;0,616000;0,001528;0,289425;1,710000;56
AGUAS DE CHAPECO;RS;3,000000;1,000000;;3743;5;0,750000;0,001069;0,037937;0,600000;22
AGUAS DE LINDOIA;SP;1,000000;4,000000;5,000000;36648;15;0,715000;0,000273;0,018364;0,010000;4
AGUAS DE SANTA BARBARA;MG;;2,000000;2,000000;4522;5;0,663000;0,000885;0,350066;2,990000;135
AGUAS FORMOSAS;SP;1,000000;6,000000;4,000000;8221;10;0,781000;0,001338;0,081864;0,460000;38
AGUAS FRIAS ;SC;3,000000;;;6515;10;0,713000;0,000460;0,618112;1,400000;91
AGUAS LINDAS DE GOIAS ;SP;1,000000;7,000000;6,000000;18808;10;0,745000;0,000744;0,035783;0,130000;24
AGUAS MORNAS;SP;3,000000;1,000000;;6109;10;0,757000;0,000655;0,110165;0,450000;27
AGUAS VERMELHAS ;SP;;;1,000000;3521;5;0,854000;0,000284;0,191139;5,790000;204
AGUDO ;MG;4,000000;5,000000;2,000000;19247;10;0,645000;0,000572;0,082247;0,070000;13
AGUDOS;SC;5,000000;7,000000;5,000000;2354;5;0,745000;0,007222;1,710705;26,170000;616
AGUIA BRANCA;SC;2,000000;2,000000;1,000000;6559;10;0,723000;0,000762;0,613966;1,600000;105
AGUIAR;MG;1,000000;1,000000;;13599;10;0,601000;0,000147;0,116406;0,050000;7
AGUIARNOPOLIS ;RS;1,000000;1,000000;;16401;10;0,694000;0,000122;0,008658;0,010000;2
AIMORES ;SP;3,000000;6,000000;3,000000;37401;15;0,745000;0,000321;0,017994;0,010000;4
AIQUARA ;PR;1,000000;1,000000;;9470;10;0,660000;0,000211;0,077508;0,080000;8
AIUABA;ES;1,000000;2,000000;1,000000;9631;10;0,678000;0,000415;0,215762;0,300000;29
AIURUOCA;PB;;1,000000;1,000000;5630;10;0,597000;0,000355;0,228952;0,090000;5
AJURICABA ;TO;1,000000;1,000000;2,000000;6892;10;0,657000;0,000580;0,069356;0,070000;5
ALAGOA GRANDE ;MG;2,000000;3,000000;2,000000;25141;15;0,684000;0,000278;0,062965;0,010000;3
ALAGOA NOVA ;BA;1,000000;2,000000;1,000000;4416;5;0,583000;0,000906;0,889946;4,000000;177
ALAGOINHA ;CE;2,000000;3,000000;1,000000;17493;10;0,569000;0,000343;0,130738;0,030000;5
ALAGOINHA DO PIAUI;MG;1,000000;1,000000;;5976;10;0,668000;0,000335;0,264893;0,310000;19
ALAGOINHAS;RS;4,000000;10,000000;10,000000;6987;10;0,753000;0,003435;0,020323;0,080000;6
ALAMBARI;MG;1,000000;1,000000;;2665;5;0,649000;0,000750;0,593996;4,560000;122
ALCANTARAS;PB;1,000000;1,000000;;14560;10;0,595000;0,000137;0,088530;0,030000;4
ALCINOPOLIS ;PE;2,000000;2,000000;;14718;10;0,599000;0,000272;0,414662;0,160000;24
ALCOBACA;PI;3,000000;5,000000;1,000000;7665;10;0,531000;0,001174;0,381083;0,050000;4
ALECRIM ;SP;2,000000;;1,000000;6129;10;0,712000;0,000489;0,109806;0,250000;15
ALEGRE;MG;1,000000;6,000000;4,000000;3011;5;0,673000;0,003653;0,525739;4,840000;146
ALEGRETE DO PIAUI ;CE;1,000000;1,000000;;11781;10;0,600000;0,000170;0,194126;0,080000;9
ALEGRIA ;PB;1,000000;1,000000;1,000000;5509;10;0,578000;0,000545;0,233981;0,060000;3
ALEM PARAIBA;MS;1,000000;5,000000;4,000000;5417;10;0,711000;0,001846;0,245339;0,540000;29
ALENQUER;BA;;2,000000;4,000000;22490;15;0,608000;0,000267;0,174744;0,010000;2
ALEXANIA;RS;2,000000;5,000000;4,000000;5827;10;0,672000;0,001888;0,024369;0,030000;2
ALFENAS ;ES;11,000000;20,000000;6,000000;29975;15;0,721000;0,001234;0,069324;0,030000;9
ALFREDO MARCONDES ;PI;2,000000;3,000000;;4918;5;0,585000;0,001017;0,593941;2,710000;133
ALFREDO VASCONCELOS ;RS;2,000000;2,000000;;3374;5;0,695000;0,001186;0,042087;0,450000;15
ALFREDO WAGNER;MG;3,000000;2,000000;1,000000;35401;15;0,726000;0,000169;0,044716;0,020000;7
ALIANCA ;RN;1,000000;2,000000;1,000000;13553;10;0,606000;0,000295;0,069874;0,030000;4
ALIANCA DO TOCANTINS;GO;;1,000000;1,000000;28010;15;0,682000;0,000071;0,130203;0,030000;8
ALMADINA;MG;1,000000;1,000000;;80494;15;0,761000;0,000025;0,019666;0,020000;16
ALMAS ;ES;1,000000;1,000000;;14636;10;0,710000;0,000137;0,141979;0,310000;45
ALMEIRIM;SP;3,000000;7,000000;4,000000;4184;5;0,741000;0,003346;0,160851;2,400000;100
ALMENARA;MG;2,000000;4,000000;5,000000;6981;10;0,675000;0,001576;0,226758;0,300000;21
ALMINO AFONSO ;SC;1,000000;2,000000;;10086;10;0,668000;0,000297;0,399266;0,470000;47
ALMIRANTE TAMANDARE ;PB;4,000000;2,000000;4,000000;2577;5;0,548000;0,003880;0,500194;1,650000;43
ALMIRANTE TAMANDARE DO SUL;PB;3,000000;;;19727;10;0,582000;0,000152;0,065342;0,020000;4
ALOANDIA;PE;1,000000;1,000000;;38397;15;0,604000;0,000052;0,158945;0,010000;4
ALPERCATA ;TO;1,000000;1,000000;;5346;10;0,663000;0,000374;0,089413;0,100000;5
ALPESTRE;BA;4,000000;;1,000000;5366;10;0,563000;0,000932;0,732389;0,160000;9
ALPINOPOLIS ;TO;1,000000;4,000000;3,000000;6979;10;0,636000;0,001146;0,068491;0,050000;3
ALTAIR;RN;1,000000;1,000000;1,000000;4710;5;0,624000;0,000637;0,201062;1,270000;60
ALTAMIRA DO MARANHAO;RS;1,000000;1,000000;;1949;5;0,740000;0,001026;0,072858;1,080000;21
ALTAMIRA DO PARANA;GO;3,000000;2,000000;;1986;5;0,697000;0,002518;1,836354;20,140000;400
ALTANEIRA ;MG;1,000000;1,000000;;7436;10;0,646000;0,000269;0,212883;0,180000;13
ALTEROSA;RS;3,000000;2,000000;1,000000;6067;10;0,671000;0,000989;0,023405;0,030000;2
ALTINHO ;MG;1,000000;2,000000;1,000000;19958;10;0,725000;0,000200;0,079317;0,210000;42
ALTINOPOLIS ;MT;1,000000;4,000000;4,000000;51959;15;0,714000;0,000173;0,205720;0,090000;47
ALTO ALEGRE ;RO;4,000000;4,000000;1,000000;22728;15;0,641000;0,000396;0,342969;0,030000;7
ALTO ALEGRE DO MARANHAO ;SP;1,000000;1,000000;;4186;5;0,687000;0,000478;0,160774;1,640000;69
ALTO ALEGRE DOS PARECIS ;MA;3,000000;3,000000;;8189;10;0,549000;0,000733;0,146660;0,020000;2
ALTO ARAGUAIA ;PR;2,000000;4,000000;2,000000;1682;5;0,667000;0,004756;0,436385;3,840000;65
ALTO BELA VISTA ;CE;3,000000;;;7650;10;0,602000;0,000392;0,298954;0,120000;9
ALTO BOA VISTA;MG;2,000000;1,000000;;14517;10;0,668000;0,000207;0,109045;0,130000;19
ALTO CAPARAO;PE;2,000000;2,000000;;22984;15;0,598000;0,000174;0,265533;0,010000;2
ALTO DO RODRIGUES ;SP;1,000000;3,000000;2,000000;16203;10;0,730000;0,000370;0,041536;0,120000;19
ALTO FELIZ;RR;1,000000;;;1613;5;0,542000;0,000620;0,360818;1,130000;18
ALTO GARCAS ;SP;1,000000;2,000000;2,000000;4088;5;0,747000;0,001223;0,164628;2,550000;104
ALTO HORIZONTE;RS;2,000000;2,000000;;15380;10;0,700000;0,000260;0,009233;0,020000;3
ALTO PARAGUAI ;RO;3,000000;2,000000;;13255;10;0,592000;0,000377;0,588080;0,210000;28
ALTO PARAISO;MT;3,000000;4,000000;3,000000;19385;10;0,704000;0,000516;0,551406;1,100000;213
ALTO PARAISO DE GOIAS ;SC;1,000000;1,000000;1,000000;1926;5;0,755000;0,001558;2,090862;34,200000;659
ALTO PARANA ;MT;3,000000;2,000000;2,000000;6936;10;0,651000;0,001009;1,541090;1,400000;97
ALTO PARNAIBA ;MG;1,000000;2,000000;1,000000;5894;10;0,661000;0,000679;0,268578;0,290000;17
ALTO PIQUIRI;RN;2,000000;2,000000;1,000000;14728;10;0,672000;0,000339;0,064299;0,080000;12
ALTO RIO DOCE ;RS;2,000000;1,000000;1,000000;3036;5;0,734000;0,001318;0,046772;0,660000;20
ALTO RIO NOVO ;MT;;1,000000;1,000000;12151;10;0,701000;0,000165;0,879681;1,680000;204
ALTO SANTO;GO;1,000000;2,000000;1,000000;6605;10;0,719000;0,000606;0,552157;1,360000;90
ALTO TAQUARI;MG;1,000000;3,000000;3,000000;8301;10;0,660000;0,000843;0,190700;0,200000;17
ALTONIA ;PI;3,000000;3,000000;4,000000;14339;10;0,585000;0,000697;0,203710;0,060000;9
ALTOS ;MT;1,000000;3,000000;3,000000;11473;10;0,638000;0,000610;0,931666;0,690000;79
ALUMINIO;RO;1,000000;7,000000;2,000000;2685;5;0,678000;0,003724;2,903166;27,730000;745
ALVARAES;GO;1,000000;1,000000;;21847;15;0,625000;0,000092;0,166934;0,010000;2
ALVARENGA ;PR;1,000000;2,000000;;7688;10;0,713000;0,000390;0,095473;0,220000;17
ALVARES FLORENCE;MA;1,000000;2,000000;1,000000;14859;10;0,696000;0,000269;0,080826;0,140000;21
ALVARES MACHADO ;PR;3,000000;3,000000;3,000000;11212;10;0,633000;0,000803;0,065466;0,050000;6
ALVARO DE CARVALHO;MG;2,000000;3,000000;;9778;10;0,676000;0,000511;0,161894;0,220000;22
ALVINLANDIA ;ES;1,000000;2,000000;;10859;10;0,620000;0,000276;0,191362;0,110000;12
ALVINOPOLIS ;CE;2,000000;2,000000;2,000000;7874;10;0,664000;0,000762;0,290450;0,320000;25
ALVORADA;MT;4,000000;24,000000;9,000000;17196;10;0,601000;0,002152;0,621598;0,250000;43
ALVORADA DE MINAS ;MT;1,000000;1,000000;;17196;10;0,601000;0,000116;0,621598;0,250000;43
ALVORADA DO NORTE ;MT;;2,000000;3,000000;17196;10;0,601000;0,000291;0,621598;0,250000;43
ALVORADA DO SUL ;MT;3,000000;1,000000;2,000000;17196;10;0,601000;0,000349;0,621598;0,250000;43
ALVORADA D'OESTE;PR;4,000000;2,000000;1,000000;11133;10;0,705000;0,000629;0,065930;0,130000;14
AMAJARI ;MG;2,000000;2,000000;;16220;10;0,527000;0,000247;0,097596;0,010000;2
AMAMBAI ;SP;3,000000;4,000000;3,000000;3844;5;0,592000;0,002601;0,175078;0,850000;33
AMAPA ;SP;1,000000;2,000000;1,000000;3647;5;0,728000;0,001097;0,184535;2,520000;92
AMAPA DO MARANHAO ;SP;1,000000;1,000000;;24998;15;0,758000;0,000080;0,026922;0,030000;7
AMAPORA ;SP;1,000000;;;5274;10;0,688000;0,000190;0,127607;0,200000;11
AMARAJI ;MG;2,000000;2,000000;;3237;5;0,722000;0,001236;0,489033;6,400000;207
AMARAL FERRADOR ;TO;;;1,000000;15169;10;0,676000;0,000066;0,031512;0,040000;6
AMARALINA ;RS;1,000000;1,000000;;8396;10;0,699000;0,000238;0,016913;0,030000;3
AMARANTE DO MARANHAO;MG;;2,000000;2,000000;3605;5;0,572000;0,001110;0,439112;1,790000;65
AMARGOSA;PI;;3,000000;3,000000;5445;10;0,578000;0,001102;0,536455;0,150000;8
AMATURA ;GO;1,000000;1,000000;;8705;10;0,660000;0,000230;0,418955;0,440000;38
AMELIA RODRIGUES;PR;1,000000;3,000000;2,000000;11503;10;0,708000;0,000522;0,063809;0,130000;15
AMERICA DOURADA ;RR;1,000000;2,000000;1,000000;14106;10;0,643000;0,000284;0,041259;0,030000;4
AMERICANO DO BRASIL ;AP;1,000000;1,000000;;39826;15;0,673000;0,000050;0,029403;0,010000;4
AMERICO BRASILIENSE ;MA;4,000000;5,000000;5,000000;9187;10;0,642000;0,001524;0,130728;0,100000;9
AMERICO DE CAMPOS ;PR;;;2,000000;7005;10;0,520000;0,000286;0,104782;0,010000;1
AMETISTA DO SUL ;PE;1,000000;;1,000000;6332;10;0,669000;0,000316;0,963834;1,150000;73
AMONTADA;GO;;2,000000;2,000000;7085;10;0,624000;0,000565;0,514749;0,310000;22
AMORINOPOLIS;PI;1,000000;1,000000;;3845;5;0,609000;0,000520;0,759688;4,240000;163
AMPARO;MA;8,000000;8,000000;6,000000;17604;10;0,598000;0,001250;0,068223;0,030000;5
ANADIA;BA;2,000000;2,000000;;11736;10;0,560000;0,000341;0,334867;0,070000;8
ANAGE ;BA;1,000000;2,000000;1,000000;25048;15;0,666000;0,000160;0,156899;0,020000;5
ANAHY ;SP;1,000000;;;16090;10;0,561000;0,000062;0,041827;0,010000;2
ANAJAS;GO;1,000000;3,000000;1,000000;242018;20;0,811000;0,000021;0,015069;0,020000;48
ANAJATUBA ;SP;;2,000000;1,000000;6164;10;0,700000;0,000487;0,109182;0,210000;13
ANALANDIA ;SP;;1,000000;1,000000;41032;15;0,751000;0,000049;0,016402;0,010000;4
ANAMA ;RS;1,000000;1,000000;;5981;10;0,745000;0,000334;0,023742;0,080000;5
ANANAS;CE;;1,000000;1,000000;7403;10;0,682000;0,000270;0,308929;0,450000;33
ANAPOLIS;PB;32,000000;63,000000;33,000000;3069;5;0,681000;0,041707;0,420007;4,100000;126
ANAPU ;SP;;1,000000;2,000000;2251;5;0,606000;0,001333;0,298978;1,630000;37
ANAPURUS;SE;1,000000;1,000000;;72677;15;0,785000;0,000028;0,633158;1,120000;814
ANASTACIO ;MG;2,000000;3,000000;1,000000;2380;5;0,611000;0,002521;0,665126;3,780000;90
ANAURILANDIA;PR;2,000000;2,000000;1,000000;4678;5;0,641000;0,001069;0,156905;1,130000;53
ANCHIETA;AL;7,000000;12,000000;4,000000;19311;10;0,709000;0,001191;0,039511;0,080000;15
ANDARAI ;BA;;1,000000;2,000000;17526;10;0,568000;0,000171;0,224238;0,050000;9
ANDORINHA ;PA;3;2;;2788;5;0,695000;0,001793;0,662482;7,160000;200
ANDRE DA ROCHA;AM;2,000000;;;5056;10;0,754000;0,000396;0,038172;0,150000;8
ANDRELANDIA ;TO;2,000000;2,000000;1,000000;13956;10;0,594000;0,000358;0,034251;0,010000;1
ANGATUBA;PA;2;4;3;9492;10;0,671000;0,000948;0,194585;0,240000;23
ANGELINA;MS;2,000000;1,000000;1,000000;15894;10;0,581000;0,000252;0,083616;0,020000;3
ANGICAL ;MS;;2,000000;2,000000;25237;15;0,663000;0,000158;0,052661;0,010000;3
ANGICAL DO PIAUI;ES;1,000000;1,000000;;9076;10;0,670000;0,000220;0,228955;0,280000;25
ANGICOS ;SC;1,000000;2,000000;2,000000;5557;10;0,730000;0,000900;0,724672;2,080000;116
ANGRA DOS REIS;BA;14,000000;20,000000;12,000000;29779;15;0,699000;0,001545;0,131972;0,040000;12
ANGUERA ;PR;1,000000;1,000000;;13132;10;0,555000;0,000152;0,055894;0,010000;1
ANGULO;BA;2,000000;1,000000;;19926;10;0,725000;0,000151;0,197230;0,530000;106
ANHANGUERA;MG;1,000000;;;14503;10;0,588000;0,000069;0,109150;0,040000;6
ANHEMBI ;SP;2,000000;1,000000;;41396;15;0,734000;0,000072;0,016258;0,010000;4
ANICUNS ;MG;1,000000;4,000000;4,000000;1343;5;0,720000;0,006701;1,178704;15,200000;204
ANISIO DE ABREU ;SP;1,000000;1,000000;;12206;10;0,700000;0,000164;0,055137;0,100000;12
ANITA GARIBALDI ;MG;1,000000;1,000000;1,000000;25479;15;0,719000;0,000118;0,062130;0,030000;8
ANITAPOLIS;MS;2,000000;1,000000;;8557;10;0,597000;0,000351;0,155311;0,060000;5
ANORI ;PE;1,000000;1,000000;;10932;10;0,697000;0,000183;0,558269;1,010000;110
ANTA GORDA;SC;2,000000;1,000000;1,000000;11226;10;0,572000;0,000356;0,358721;0,090000;10
ANTAS ;BA;2,000000;2,000000;;4743;5;0,687000;0,000843;0,828590;8,450000;401
ANTONINA;PI;1,000000;3,000000;3,000000;13938;10;0,625000;0,000502;0,209571;0,130000;18
ANTONINA DO NORTE ;TO;2,000000;2,000000;;6783;10;0,630000;0,000590;0,070470;0,050000;3
ANTONIO CARDOSO ;RN;1,000000;1,000000;;3454;5;0,648000;0,000579;0,274175;2,090000;72
ANTONIO CARLOS;RJ;5,000000;7,000000;3,000000;11705;10;0,624000;0,001282;0,853054;0,510000;60
ANTONIO GONCALVES ;PR;1,000000;1,000000;;11297;10;0,589000;0,000177;0,064973;0,020000;2
ANTONIO JOAO;GO;2,000000;3,000000;1,000000;2930;5;0,721000;0,002048;1,244710;16,170000;474
ANTONIO MARTINS ;SP;1,000000;1,000000;;1160;5;0,725000;0,001724;0,580172;7,750000;90
ANTONIO OLINTO;SP;4,000000;1,000000;;6819;10;0,721000;0,000733;0,098695;0,250000;17
ANTONIO PRADO ;GO;4,000000;4,000000;3,000000;4144;5;0,741000;0,002654;0,880068;13,110000;543
ANTONIO PRADO DE MINAS;PI;1,000000;1,000000;;21981;15;0,714000;0,000091;0,132887;0,060000;13
APARECIDA ;SC;4,000000;6,000000;5,000000;9938;10;0,594000;0,001509;0,405212;0,150000;15
APARECIDA DE GOIANIA;SC;23,000000;44,000000;22,000000;9938;10;0,594000;0,008956;0,405212;0,150000;15
APARECIDA DO RIO DOCE ;SC;2,000000;1,000000;;9938;10;0,594000;0,000302;0,405212;0,150000;15
APARECIDA DO RIO NEGRO;SC;1,000000;1,000000;;9938;10;0,594000;0,000201;0,405212;0,150000;15
APARECIDA DO TABOADO;PR;1,000000;3,000000;3,000000;19479;10;0,592000;0,000359;0,037682;0,010000;2
APARECIDA D'OESTE ;PR;1,000000;1,000000;1,000000;19479;10;0,592000;0,000154;0,037682;0,010000;2
APERIBE ;CE;2,000000;1,000000;1,000000;18949;10;0,687000;0,000211;0,120692;0,190000;36
APIACA;PI;;1,000000;1,000000;7378;10;0,599000;0,000271;0,395907;0,160000;12
APIACAS ;BA;4,000000;2,000000;;3170;5;0,620000;0,001893;1,239748;7,570000;240
APIAI ;MG;2,000000;3,000000;4,000000;11677;10;0,561000;0,000771;0,135566;0,030000;4
APICUM-ACU;SC;;2,000000;1,000000;8613;10;0,683000;0,000348;0,467549;0,690000;59
APIUNA;MG;3,000000;2,000000;1,000000;11459;10;0,749000;0,000524;0,138145;0,510000;58
APODI ;BA;;3,000000;4,000000;9275;10;0,645000;0,000755;0,423720;0,350000;32
APORA ;MS;1,000000;1,000000;;11878;10;0,598000;0,000168;0,111888;0,040000;5
APORE ;RN;1,000000;2,000000;1,000000;9020;10;0,643000;0,000443;0,104989;0,080000;7
APUAREMA;PR;1,000000;1,000000;;7154;10;0,578000;0,000280;0,102600;0,030000;2
APUCARANA ;RS;14,000000;10,000000;11,000000;7427;10;0,656000;0,004713;0,019119;0,020000;1
APUI;MG;2,000000;1,000000;1,000000;13045;10;0,758000;0,000307;0,121349;0,510000;67
APUIARES;PB;1,000000;1,000000;;1587;5;0,684000;0,001260;0,812224;8,110000;129
AQUIDABA;SP;;2,000000;2,000000;8416;10;0,578000;0,000475;0,079967;0,020000;2
AQUIDAUANA;SP;2,000000;9,000000;5,000000;36185;15;0,755000;0,000442;0,018599;0,020000;7
ARABUTA ;GO;4,000000;2,000000;;2474;5;0,693000;0,002425;1,474131;15,710000;389
ARACAGI ;TO;2,000000;2,000000;;4848;5;0,651000;0,000825;0,098597;0,770000;37
ARACAI;MS;1,000000;;;26069;15;0,697000;0,000038;0,050980;0,020000;5
ARACAJU ;RJ;36,000000;163,000000;69,000000;4158;5;0,721000;0,064454;2,401395;31,190000;1297
ARACARIGUAMA;ES;3,000000;;;11901;10;0,692000;0,000252;0,174607;0,290000;35
ARACAS;MT;1,000000;1,000000;;7554;10;0,673000;0,000265;1,415012;1,800000;136
ARACATI ;SP;1,000000;3,000000;5,000000;10283;10;0,675000;0,000875;0,065448;0,090000;9
ARACATU ;MA;1,000000;1,000000;;24226;15;0,710000;0,000083;0,049575;0,020000;5
ARACATUBA ;SC;29,000000;30,000000;31,000000;17413;10;0,568000;0,005169;0,231264;0,050000;9
ARACI ;RN;;4,000000;4,000000;10848;10;0,708000;0,000737;0,087297;0,180000;20
ARACOIABA ;BA;1,000000;2,000000;2,000000;35874;15;0,639000;0,000139;0,109550;0,010000;4
ARACOIABA DA SERRA;GO;;2,000000;2,000000;17788;10;0,548000;0,000225;0,205026;0,030000;5
ARACRUZ ;BA;8,000000;21,000000;6,000000;4232;5;0,693000;0,008270;0,928639;9,900000;419
ARACUAI ;PR;1,000000;4,000000;5,000000;7302;10;0,552000;0,001369;0,100520;0,020000;1
ARAGOIANIA;CE;1,000000;1,000000;;22359;15;0,637000;0,000089;0,102285;0,010000;2
ARAGOMINAS;SE;1,000000;1,000000;;14672;10;0,618000;0,000136;3,136314;1,700000;249
ARAGUACU;CE;;1,000000;3,000000;48029;15;0,688000;0,000083;0,047617;0,010000;5
ARAGUAINA ;PB;6,000000;22,000000;12,000000;4267;5;0,733000;0,009374;0,302086;4,260000;182
ARAGUANA;MG;2,000000;2,000000;;16921;10;0,549000;0,000236;0,093552;0,020000;3
ARAGUAPAZ ;SE;;1,000000;1,000000;2354;5;0,695000;0,000850;19,548003;211,320000;4974
ARAGUATINS;BA;1,000000;3,000000;4,000000;22860;15;0,704000;0,000350;0,171916;0,060000;14
ARAIOSES;CE;;2,000000;2,000000;12208;10;0,570000;0,000328;0,187336;0,050000;6
ARAL MOREIRA;BA;3,000000;2,000000;1,000000;74975;15;0,655000;0,000080;0,052417;0,010000;7
ARAMARI ;SP;1,000000;1,000000;;13045;10;0,581000;0,000153;0,051591;0,020000;3
ARAMBARE;BA;1,000000;;;198129;20;0,788000;0,000005;0,019836;0,010000;20
ARAMINA ;CE;1,000000;1,000000;1,000000;2059;5;0,661000;0,001457;1,110733;9,340000;192
ARANDU;PE;2,000000;2,000000;1,000000;26535;15;0,615000;0,000188;0,229998;0,010000;3
ARAPEI;ES;1,000000;1,000000;;34776;15;0,776000;0,000058;0,059754;0,090000;31
ARAPIRACA ;GO;9,000000;17,000000;10,000000;103101;20;0,752000;0,000349;0,035373;0,010000;10
ARAPOEMA;MG;;1,000000;1,000000;3486;5;0,693000;0,000574;0,454102;4,840000;169
ARAPONGA;GO;3,000000;1,000000;;36712;15;0,663000;0,000109;0,099341;0,010000;4
ARAPONGAS ;GO;12,000000;5,000000;11,000000;20273;15;0,732000;0,001381;0,179894;0,110000;22
ARAPORA ;TO;;1,000000;1,000000;10496;10;0,684000;0,000191;0,045541;0,070000;7
ARAPOTI ;TO;3,000000;5,000000;4,000000;5731;10;0,593000;0,002094;0,083406;0,030000;2
