MUNICIPIO;UF;Total_Postos;Total_PAE;Total_Agências;Populacao;Coeficiente de ajuste populacional;IDHM;Nível de bancarização;Teledensidade estadual;Probabilidade_de_conversão;Clientes_Convertidos
MAXARANGUAPE;MG;1,000000;1,000000;;1954;5;0,782000;0,001024;0,810133;15,790000;309
MAXIMILIANO DE ALMEIDA;CE;3,000000;1,000000;1,000000;12285;10;0,613000;0,000407;0,186162;0,090000;11
MEDEIROS;SP;3,000000;3,000000;;31492;15;0,729000;0,000191;0,021371;0,010000;3
MEDEIROS NETO ;MG;1,000000;4,000000;4,000000;7444;10;0,710000;0,001209;0,212654;0,460000;34
MEDIANEIRA;SC;6,000000;5,000000;5,000000;7311;10;0,649000;0,002188;0,550814;0,490000;36
MEDICILANDIA;SP;1,000000;3,000000;2,000000;3226;5;0,744000;0,001860;0,208617;3,170000;102
MEDINA;MG;;3,000000;3,000000;12115;10;0,670000;0,000495;0,130664;0,160000;19
MELGACO ;SP;1,000000;1,000000;1,000000;4920;5;0,764000;0,000610;0,136789;2,370000;117
MENDES;SC;1,000000;3,000000;4,000000;11499;10;0,686000;0,000696;0,350204;0,540000;62
MENDES PIMENTEL ;MG;;;1,000000;68990;15;0,726000;0,000014;0,022945;0,010000;7
MENDONCA;GO;1,000000;1,000000;1,000000;3000;5;0,659000;0,001000;1,215667;10,070000;302
MERCEDES;PR;2,000000;1,000000;1,000000;52640;15;0,707000;0,000076;0,013944;0,010000;5
MERCES;RS;2,000000;4,000000;1,000000;7651;10;0,685000;0,000915;0,018560;0,030000;2
MERIDIANO ;MG;2,000000;3,000000;;3925;5;0,672000;0,001274;0,403312;3,680000;144
MERUOCA ;BA;2,000000;2,000000;;5152;10;0,621000;0,000776;0,762811;0,430000;22
MESQUITA;PR;2,000000;8,000000;6,000000;5031;10;0,680000;0,003180;0,145895;0,210000;11
MESSIAS ;MA;2,000000;2,000000;;12373;10;0,581000;0,000323;0,097066;0,030000;4
MESSIAS TARGINO ;MG;1,000000;1,000000;;3231;5;0,710000;0,000619;0,489941;5,890000;190
MIAMI ;SP;;1,000000;;11918;10;0,775000;0,000084;0,056469;0,290000;35
MIGUEL ALVES;MG;1,000000;1,000000;1,000000;16724;10;0,710000;0,000179;0,094654;0,210000;35
MIGUEL PEREIRA;AL;1,000000;4,000000;5,000000;7589;10;0,580000;0,001318;0,100540;0,030000;2
MILAGRES;CE;;2,000000;3,000000;28771;15;0,682000;0,000174;0,079490;0,020000;6
MILHA ;SP;2,000000;2,000000;;59890;15;0,742000;0,000067;0,011237;0,010000;6
MIMOSO DE GOIAS ;SC;1,000000;1,000000;;4592;5;0,743000;0,000436;0,876960;13,240000;608
MIMOSO DO SUL ;RS;2,000000;6,000000;3,000000;8092;10;0,712000;0,001359;0,017548;0,040000;3
MINACU;RS;1,000000;5,000000;4,000000;4546;5;0,749000;0,002200;0,031236;0,490000;22
MINADOR DO NEGRAO ;ES;1,000000;1,000000;;6125;10;0,724000;0,000327;0,339265;0,900000;55
MINAS DO LEAO ;SP;;;1,000000;1719;5;0,786000;0,000582;0,391507;7,830000;135
MINEIROS;TO;6,000000;8,000000;5,000000;7265;10;0,570000;0,002615;0,065795;0,020000;1
MINEIROS DO TIETE ;PR;1,000000;4,000000;1,000000;46062;15;0,725000;0,000130;0,015935;0,010000;5
MINISTRO ANDREAZZA;PR;4,000000;3,000000;1,000000;3733;5;0,744000;0,002143;0,196625;2,990000;112
MIRABELA;PR;;2,000000;1,000000;4819;5;0,778000;0,000623;0,152314;2,890000;139
MIRACATU;MG;1,000000;3,000000;3,000000;4369;5;0,646000;0,001602;0,362325;2,720000;119
MIRACEMA DO TOCANTINS ;SP;;3,000000;4,000000;9714;10;0,766000;0,000721;0,069281;0,320000;31
MIRADOR ;MA;1,000000;2,000000;1,000000;12315;10;0,582000;0,000325;0,097523;0,030000;4
MIRADOURO ;SP;3,000000;4,000000;1,000000;89125;15;0,742000;0,000090;0,007551;0,010000;9
MIRAGUAI;SP;3,000000;1,000000;1,000000;12214;10;0,777000;0,000409;0,055101;0,290000;35
MIRAI ;MT;2,000000;3,000000;1,000000;2300;5;0,768000;0,002609;4,647391;82,780000;1904
MIRAIMA ;SP;1,000000;2,000000;;49993;15;0,752000;0,000060;0,013462;0,010000;5
